Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																																																
Республики Беларусь, за период с 29.03.1995 по 31.12.1995																																																
																																																
Дата	1 австралийский доллар (AUD)	1 австрийский шиллинг (ATS)	1 азербайджанский манат (AZM)	1 армянский драм (AMD)	1 болгарский лев (BGL)	1 венгерский форинт (HUF)	1 грузинский лари (GEL)	1 датская крона (DKK)	1 доллар США (USD)	1 ирландский фунт (IEP)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 немецкая марка (DEM)	1 нидерландский гульден (NLG)	1 норвежская крона (NOK)	1 польский злотый (PLZ)	1 российский рубль (RUR)	1 румынский лей (ROL)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 словацкая крона (SKK)	1 таджикский рубль (TJR)	1 туркменский манат (TMM)	1 узбекский сум (UZS)	1 финляндская марка (FIM)	1 французский франк (FRF)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 Экю (XEU)	1 эстонская крона (EEK)	10 бельгийских франков (BEF)	10 греческих драхм (GRD)	10 грузинских купонов (GEK)	10 иен (JPY)	10 испанских песет (ESP)	10 ливанских фунтов (LBP)	10 португальских эскудо (PTE)	10 турецких лир (TRL)	10 украинских карбованцев (UAK)	100 итальянских лир (ITL)
29.03.1995	 8 398,49 	 1 174,21 	 1,50 	 15,00 			 0,00 	 2 083,45 	 11 600,00 	 18 622,57 	 180,26 	 150,00 	 8 285,71 	 39 215,69 	 1 060,00 	 22 390,00 	 2 900,00 	 2 620,00 	 8 265,05 	 7 374,44 	 1 856,59 		 2,33 		 17 931,95 	 8 171,89 		 0,01 	 150,00 	 45,00 	 2 649,61 	 2 347,23 	 18 560,00 		 1 591,72 	 10 017,27 	 15 106,13 	 1 033,87 	 4 013,84 	 506,00 		 1 300,45 	 900,13 	 70,99 	 786,71 	 2,76 	 0,83 	 682,35 
30.03.1995	 8 398,49 	 1 174,21 	 1,50 	 15,00 			 0,00 	 2 083,45 	 11 600,00 	 18 622,57 	 180,26 	 150,00 	 8 285,71 	 39 215,69 	 1 060,00 	 22 390,00 	 2 900,00 	 2 620,00 	 8 265,05 	 7 374,44 	 1 856,59 		 2,33 		 17 931,95 	 8 171,89 		 0,01 	 150,00 	 45,00 	 2 649,61 	 2 347,23 	 18 560,00 		 1 591,72 	 10 017,27 	 15 106,13 	 1 033,87 	 4 013,84 	 506,00 		 1 300,45 	 900,13 	 70,99 	 786,71 	 2,76 	 0,83 	 682,35 
31.03.1995	 8 373,81 	 1 191,95 	 1,50 	 15,00 			 0,00 	 2 096,19 	 11 550,00 	 18 653,10 	 180,47 	 150,00 	 8 250,00 	 39 020,27 	 1 055,00 	 22 290,00 	 2 880,00 	 2 600,00 	 8 387,80 	 7 492,70 	 1 868,93 		 2,28 		 17 761,03 	 8 136,67 		 0,01 	 150,00 	 45,00 	 2 655,17 	 2 372,64 	 18 620,02 		 1 560,81 	 10 158,31 	 15 275,76 	 1 030,33 	 4 071,20 	 511,29 		 1 308,78 	 903,76 	 70,69 	 791,64 	 2,80 	 0,81 	 673,47 
01.04.1995	 8 373,81 	 1 191,95 	 1,50 	 15,00 			 0,00 	 2 096,19 	 11 550,00 	 18 653,10 	 180,47 	 150,00 	 8 250,00 	 39 020,27 	 1 055,00 	 22 290,00 	 2 880,00 	 2 600,00 	 8 387,80 	 7 492,70 	 1 868,93 		 2,28 		 17 761,03 	 8 136,67 		 0,01 	 150,00 	 45,00 	 2 655,17 	 2 372,64 	 18 620,02 		 1 560,81 	 10 158,31 	 15 275,76 	 1 030,33 	 4 071,20 	 511,29 		 1 308,78 	 903,76 	 70,69 	 791,64 	 2,80 	 0,81 	 673,47 
02.04.1995	 8 373,81 	 1 191,95 	 1,50 	 15,00 			 0,00 	 2 096,19 	 11 550,00 	 18 653,10 	 180,47 	 150,00 	 8 250,00 	 39 020,27 	 1 055,00 	 22 290,00 	 2 880,00 	 2 600,00 	 8 387,80 	 7 492,70 	 1 868,93 		 2,28 		 17 761,03 	 8 136,67 		 0,01 	 150,00 	 45,00 	 2 655,17 	 2 372,64 	 18 620,02 		 1 560,81 	 10 158,31 	 15 275,76 	 1 030,33 	 4 071,20 	 511,29 		 1 308,78 	 903,76 	 70,69 	 791,64 	 2,80 	 0,81 	 673,47 
03.04.1995	 8 373,81 	 1 191,95 	 1,50 	 15,00 			 0,00 	 2 096,19 	 11 550,00 	 18 653,10 	 180,47 	 150,00 	 8 250,00 	 39 020,27 	 1 055,00 	 22 290,00 	 2 880,00 	 2 600,00 	 8 387,80 	 7 492,70 	 1 868,93 		 2,28 		 17 761,03 	 8 136,67 		 0,01 	 150,00 	 45,00 	 2 655,17 	 2 372,64 	 18 620,02 		 1 560,81 	 10 158,31 	 15 275,76 	 1 030,33 	 4 071,20 	 511,29 		 1 308,78 	 903,76 	 70,69 	 791,64 	 2,80 	 0,81 	 673,47 
04.04.1995	 8 373,81 	 1 191,95 	 1,50 	 15,00 			 0,00 	 2 096,19 	 11 550,00 	 18 653,10 	 180,47 	 150,00 	 8 250,00 	 39 020,27 	 1 055,00 	 22 290,00 	 2 880,00 	 2 600,00 	 8 387,80 	 7 492,70 	 1 868,93 		 2,28 		 17 761,03 	 8 136,67 		 0,01 	 150,00 	 45,00 	 2 655,17 	 2 372,64 	 18 620,02 		 1 560,81 	 10 158,31 	 15 275,76 	 1 030,33 	 4 071,20 	 511,29 		 1 308,78 	 903,76 	 70,69 	 791,64 	 2,80 	 0,81 	 673,47 
05.04.1995	 8 421,21 	 1 194,37 	 1,50 	 15,00 			 0,00 	 2 121,65 	 11 500,00 	 18 563,36 	 182,37 	 150,00 	 8 227,21 	 39 343,14 	 1 055,00 	 22 460,00 	 2 875,00 	 2 590,00 	 8 404,59 	 7 505,06 	 1 868,55 		 2,30 		 17 890,48 	 8 173,42 		 0,01 	 150,00 	 45,00 	 2 677,28 	 2 392,94 	 18 554,37 		 1 560,74 	 10 283,47 	 15 280,36 	 1 041,67 	 4 085,69 	 510,09 		 1 336,28 	 909,09 	 70,38 	 790,38 	 2,74 	 0,82 	 665,51 
06.04.1995	 8 421,21 	 1 194,37 	 1,50 	 15,00 			 0,00 	 2 121,65 	 11 500,00 	 18 563,36 	 182,37 	 150,00 	 8 227,21 	 39 343,14 	 1 055,00 	 22 460,00 	 2 875,00 	 2 590,00 	 8 404,59 	 7 505,06 	 1 868,55 		 2,30 		 17 890,48 	 8 173,42 		 0,01 	 150,00 	 45,00 	 2 677,28 	 2 392,94 	 18 554,37 		 1 560,74 	 10 283,47 	 15 280,36 	 1 041,67 	 4 085,69 	 510,09 		 1 336,28 	 909,09 	 70,38 	 790,38 	 2,74 	 0,82 	 665,51 
07.04.1995	 8 504,03 	 1 194,31 	 1,50 	 15,00 			 0,00 	 2 125,69 	 11 500,00 	 18 608,41 	 183,12 	 150,00 	 8 255,56 	 39 329,69 	 1 055,00 	 22 460,00 	 2 875,00 	 2 590,00 	 8 412,58 	 7 508,98 	 1 873,27 		 2,30 		 18 016,61 	 8 190,88 		 0,01 	 150,00 	 45,00 	 2 703,34 	 2 410,40 	 18 515,54 		 1 558,27 	 10 267,86 	 15 317,00 	 1 031,39 	 4 089,62 	 509,98 		 1 348,18 	 920,00 	 70,38 	 794,20 	 2,74 	 0,79 	 673,30 
08.04.1995	 8 504,03 	 1 194,31 	 1,50 	 15,00 			 0,00 	 2 125,69 	 11 500,00 	 18 608,41 	 183,12 	 150,00 	 8 255,56 	 39 329,69 	 1 055,00 	 22 460,00 	 2 875,00 	 2 590,00 	 8 412,58 	 7 508,98 	 1 873,27 		 2,30 		 18 016,61 	 8 190,88 		 0,01 	 150,00 	 45,00 	 2 703,34 	 2 410,40 	 18 515,54 		 1 558,27 	 10 267,86 	 15 317,00 	 1 031,39 	 4 089,62 	 509,98 		 1 348,18 	 920,00 	 70,38 	 794,20 	 2,74 	 0,79 	 673,30 
