Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																																																							
Республики Беларусь, за период с 01.01.1996 по 31.12.1996																																																							
																																																							
Дата	1 австралийский доллар (AUD)	1 австрийский шиллинг (ATS)	1 азербайджанский манат (AZM)	1 армянский драм (AMD)	1 болгарский лев (BGL)	1 венгерский форинт (HUF)	1 грузинский лари (GEL)	1 датская крона (DKK)	1 доллар США (USD)	1 ирландский фунт (IEP)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 немецкая марка (DEM)	1 нидерландский гульден (NLG)	1 норвежская крона (NOK)	1 польский злотый (PLZ)	1 российский рубль (RUR)	1 румынский лей (ROL)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 словацкая крона (SKK)	1 таджикский рубль (TJR)	1 туркменский манат (TMM)	1 узбекский сум (UZS)	1 украинская гривна (UAH)	1 украинский карбованец (UAK)	1 финляндская марка (FIM)	1 французский франк (FRF)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 Экю (XEU)	1 эстонская крона (EEK)	10 бельгийских франков (BEF)	10 греческих драхм (GRD)	10 иен (JPY)	10 испанских песет (ESP)	10 ливанских фунтов (LBP)	10 португальских эскудо (PTE)	10 турецких лир (TRL)	10 украинских карбованцев (UAK)	100 итальянских лир (ITL)	1000 азербайджанских манат (AZM)	1000 армянских драмов (AMD)	1000 ливанских фунтов (LBP)	1000 румынских лей (ROL)	1000 таджикских рублей (TJR)	10000 турецких лир (TRL)
01.01.1996	 8 580,73 	 1 140,65 	 2,50 	 28,00 	 162,25 	 84,20 	 9 236,00 	 2 075,06 	 11 500,00 	 18 497,76 	 176,38 	 179,00 	 8 457,75 	 38 410,15 	 1 026,00 	 21 415,27 	 2 875,00 	 2 556,00 	 8 024,56 	 7 170,47 	 1 818,50 	 4 663,42 	 2,47 	 4,34 	 17 064,85 	 8 137,56 	 389,07 	 39,00 	 4,70 	 321,00 		 0,06 	 2 637,49 	 2 346,22 	 17 931,96 	 431,60 	 1 725,46 	 9 972,25 	 14 732,65 	 1 004,86 	 3 910,23 	 484,43 	 1 121,35 	 948,22 	 72,03 	 768,59 	 1,85 		 726,23 						
02.01.1996	 8 580,73 	 1 140,65 	 2,50 	 28,00 	 162,25 	 84,20 	 9 236,00 	 2 075,06 	 11 500,00 	 18 497,76 	 176,38 	 179,00 	 8 457,75 	 38 410,15 	 1 026,00 	 21 415,27 	 2 875,00 	 2 556,00 	 8 024,56 	 7 170,47 	 1 818,50 	 4 663,42 	 2,47 	 4,34 	 17 064,85 	 8 137,56 	 389,07 	 39,00 	 4,70 	 321,00 		 0,06 	 2 637,49 	 2 346,22 	 17 931,96 	 431,60 	 1 725,46 	 9 972,25 	 14 732,65 	 1 004,86 	 3 910,23 	 484,43 	 1 121,35 	 948,22 	 72,03 	 768,59 	 1,85 		 726,23 						
03.01.1996	 8 580,73 	 1 140,65 	 2,50 	 28,00 	 162,25 	 84,20 	 9 236,00 	 2 075,06 	 11 500,00 	 18 497,76 	 176,38 	 179,00 	 8 457,75 	 38 410,15 	 1 026,00 	 21 415,27 	 2 875,00 	 2 556,00 	 8 024,56 	 7 170,47 	 1 818,50 	 4 663,42 	 2,47 	 4,34 	 17 064,85 	 8 137,56 	 389,07 	 39,00 	 4,70 	 321,00 		 0,06 	 2 637,49 	 2 346,22 	 17 931,96 	 431,60 	 1 725,46 	 9 972,25 	 14 732,65 	 1 004,86 	 3 910,23 	 484,43 	 1 121,35 	 948,22 	 72,03 	 768,59 	 1,85 		 726,23 						
04.01.1996	 8 580,73 	 1 140,65 	 2,50 	 28,00 	 162,25 	 84,20 	 9 236,00 	 2 075,06 	 11 500,00 	 18 497,76 	 176,38 	 179,00 	 8 457,75 	 38 410,15 	 1 026,00 	 21 415,27 	 2 875,00 	 2 556,00 	 8 024,56 	 7 170,47 	 1 818,50 	 4 663,42 	 2,47 	 4,34 	 17 064,85 	 8 137,56 	 389,07 	 39,00 	 4,70 	 321,00 		 0,06 	 2 637,49 	 2 346,22 	 17 931,96 	 431,60 	 1 725,46 	 9 972,25 	 14 732,65 	 1 004,86 	 3 910,23 	 484,43 	 1 121,35 	 948,22 	 72,03 	 768,59 	 1,85 		 726,23 						
05.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
06.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
07.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
08.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
09.01.1996	 8 554,00 	 1 130,50 	 2,50 	 28,00 	 160,81 	 83,84 	 9 349,00 	 2 054,86 	 11 500,00 	 18 371,49 	 176,08 	 179,00 	 8 479,58 	 38 397,33 	 1 031,00 	 21 335,81 	 2 875,00 	 2 547,00 	 7 948,58 	 7 102,71 	 1 804,77 	 4 628,70 	 2,47 	 4,15 	 17 095,29 	 8 059,99 	 386,71 	 39,00 	 4,70 	 323,00 		 0,06 	 2 640,04 	 2 327,23 	 17 835,54 	 429,81 	 1 734,96 	 9 856,86 	 14 666,68 	 994,81 	 3 866,85 	 483,09 	 1 088,86 	 944,56 	 72,08 	 764,83 	 1,93 		 729,58 						
10.01.1996	 8 572,69 	 1 131,95 	 2,50 	 28,00 	 158,42 	 84,29 	 9 349,00 	 2 059,09 	 11 500,00 	 18 344,23 	 175,71 	 179,00 	 8 443,47 	 38 410,15 	 1 031,00 	 21 316,03 	 2 875,00 	 2 542,00 	 7 961,23 	 7 110,62 	 1 808,03 	 4 625,91 	 2,47 	 4,05 	 16 954,40 	 8 070,18 	 387,12 	 39,00 	 4,10 	 323,00 		 0,07 	 2 635,20 	 2 324,97 	 17 810,13 	 430,24 	 1 740,31 	 9 847,58 	 14 799,94 	 998,09 	 3 873,68 	 487,21 	 1 093,16 	 947,55 	 72,12 	 767,54 	 1,94 		 730,51 						
