Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																																															
Республики Беларусь ежедневно, за период с 01.01.1997 по 31.12.1997*																																															
																																															
Дата	1 австралийский доллар (AUD)	1 австрийский шиллинг (ATS)	1 болгарский лев (BGL)	1 венгерский форинт (HUF)	1 грузинский лари (GEL)	1 датская крона (DKK)	1 доллар США (USD)	1 ирландский фунт (IEP)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 немецкая марка (DEM)	1 нидерландский гульден (NLG)	1 норвежская крона (NOK)	1 польский злотый (PLZ)	1 российский рубль (RUR)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 словацкая крона (SKK)	1 туркменский манат (TMM)	1 узбекский сум (UZS)	1 украинская гривна (UAH)	1 финляндская марка (FIM)	1 французский франк (FRF)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 Экю (XEU)	1 эстонская крона (EEK)	10 бельгийских франков (BEF)	10 греческих драхм (GRD)	10 иен (JPY)	10 испанских песет (ESP)	10 португальских эскудо (PTE)	100 итальянских лир (ITL)	1000 азербайджанских манат (AZM)	1000 армянских драмов (AMD)	1000 ливанских фунтов (LBP)	1000 румынских лей (ROL)	1000 таджикских рублей (TJR)	10000 турецких лир (TRL)
01.01.1997	 12 311,65 	 1 418,05 	 38,75 	 96,06 	 12 071,00 	 2 607,54 	 15 500,00 	 25 722,26 	 231,48 	 211,00 	 11 356,98 	 51 666,67 	 914,00 	 28 166,45 	 3 874,71 	 3 323,00 	 9 978,11 	 8 886,60 	 2 396,71 	 5 409,18 	 2,79 	 22 571,26 	 11 073,80 	 487,18 	 3,81 	 281,00 	 12 200,00 	 3 340,95 	 2 956,44 	 25 970,24 	 566,62 	 2 258,75 	 11 543,04 	 19 226,98 	 1 247,26 	 4 843,75 	 629,52 	 1 350,76 	 1 185,70 	 990,57 	 1 015,03 	 3 760,00 	 36 000,00 	 9 986,00 	 3 760,00 	 47 000,00 	 1 440,00 
02.01.1997	 12 311,65 	 1 418,05 	 38,75 	 96,06 	 12 071,00 	 2 607,54 	 15 500,00 	 25 722,26 	 231,48 	 211,00 	 11 356,98 	 51 666,67 	 914,00 	 28 166,45 	 3 874,71 	 3 323,00 	 9 978,11 	 8 886,60 	 2 396,71 	 5 409,18 	 2,79 	 22 571,26 	 11 073,80 	 487,18 	 3,81 	 281,00 	 12 200,00 	 3 340,95 	 2 956,44 	 25 970,24 	 566,62 	 2 258,75 	 11 543,04 	 19 226,98 	 1 247,26 	 4 843,75 	 629,52 	 1 350,76 	 1 185,70 	 990,57 	 1 015,03 	 3 760,00 	 36 000,00 	 9 986,00 	 3 760,00 	 47 000,00 	 1 440,00 
03.01.1997	 12 311,65 	 1 418,05 	 38,75 	 96,06 	 12 071,00 	 2 607,54 	 15 500,00 	 25 722,26 	 231,48 	 211,00 	 11 356,98 	 51 666,67 	 914,00 	 28 166,45 	 3 874,71 	 3 323,00 	 9 978,11 	 8 886,60 	 2 396,71 	 5 409,18 	 2,79 	 22 571,26 	 11 073,80 	 487,18 	 3,81 	 281,00 	 12 200,00 	 3 340,95 	 2 956,44 	 25 970,24 	 566,62 	 2 258,75 	 11 543,04 	 19 226,98 	 1 247,26 	 4 843,75 	 629,52 	 1 350,76 	 1 185,70 	 990,57 	 1 015,03 	 3 760,00 	 36 000,00 	 9 986,00 	 3 760,00 	 47 000,00 	 1 440,00 
04.01.1997	 12 599,96 	 1 461,87 	 27,65 	 98,77 	 12 071,00 	 2 690,36 	 15 900,00 	 26 719,95 	 237,70 	 216,00 	 11 555,23 	 53 017,67 	 952,00 	 28 830,46 	 3 975,00 	 3 419,00 	 10 285,27 	 9 162,68 	 2 483,40 	 5 549,16 	 2,79 	 23 153,74 	 11 342,56 	 498,73 	 3,90 	 290,00 	 14 250,00 	 3 430,42 	 3 044,40 	 27 031,58 	 587,00 	 2 308,13 	 11 797,88 	 19 871,03 	 1 285,24 	 4 989,02 	 648,66 	 1 374,24 	 1 220,68 	 1 022,90 	 1 045,40 	 3 870,00 	 36 000,00 	 10 245,00 	 3 840,00 	 48 000,00 	 1 470,00 
05.01.1997	 12 599,96 	 1 461,87 	 27,65 	 98,77 	 12 071,00 	 2 690,36 	 15 900,00 	 26 719,95 	 237,70 	 216,00 	 11 555,23 	 53 017,67 	 952,00 	 28 830,46 	 3 975,00 	 3 419,00 	 10 285,27 	 9 162,68 	 2 483,40 	 5 549,16 	 2,79 	 23 153,74 	 11 342,56 	 498,73 	 3,90 	 290,00 	 14 250,00 	 3 430,42 	 3 044,40 	 27 031,58 	 587,00 	 2 308,13 	 11 797,88 	 19 871,03 	 1 285,24 	 4 989,02 	 648,66 	 1 374,24 	 1 220,68 	 1 022,90 	 1 045,40 	 3 870,00 	 36 000,00 	 10 245,00 	 3 840,00 	 48 000,00 	 1 470,00 
06.01.1997	 12 599,96 	 1 461,87 	 27,65 	 98,77 	 12 071,00 	 2 690,36 	 15 900,00 	 26 719,95 	 237,70 	 216,00 	 11 555,23 	 53 017,67 	 952,00 	 28 830,46 	 3 975,00 	 3 419,00 	 10 285,27 	 9 162,68 	 2 483,40 	 5 549,16 	 2,79 	 23 153,74 	 11 342,56 	 498,73 	 3,90 	 290,00 	 14 250,00 	 3 430,42 	 3 044,40 	 27 031,58 	 587,00 	 2 308,13 	 11 797,88 	 19 871,03 	 1 285,24 	 4 989,02 	 648,66 	 1 374,24 	 1 220,68 	 1 022,90 	 1 045,40 	 3 870,00 	 36 000,00 	 10 245,00 	 3 840,00 	 48 000,00 	 1 470,00 
07.01.1997	 12 599,96 	 1 461,87 	 27,65 	 98,77 	 12 071,00 	 2 690,36 	 15 900,00 	 26 719,95 	 237,70 	 216,00 	 11 555,23 	 53 017,67 	 952,00 	 28 830,46 	 3 975,00 	 3 419,00 	 10 285,27 	 9 162,68 	 2 483,40 	 5 549,16 	 2,79 	 23 153,74 	 11 342,56 	 498,73 	 3,90 	 290,00 	 14 250,00 	 3 430,42 	 3 044,40 	 27 031,58 	 587,00 	 2 308,13 	 11 797,88 	 19 871,03 	 1 285,24 	 4 989,02 	 648,66 	 1 374,24 	 1 220,68 	 1 022,90 	 1 045,40 	 3 870,00 	 36 000,00 	 10 245,00 	 3 840,00 	 48 000,00 	 1 470,00 
08.01.1997	 12 599,96 	 1 461,87 	 27,65 	 98,77 	 12 071,00 	 2 690,36 	 15 900,00 	 26 719,95 	 237,70 	 216,00 	 11 555,23 	 53 017,67 	 952,00 	 28 830,46 	 3 975,00 	 3 419,00 	 10 285,27 	 9 162,68 	 2 483,40 	 5 549,16 	 2,79 	 23 153,74 	 11 342,56 	 498,73 	 3,90 	 290,00 	 14 250,00 	 3 430,42 	 3 044,40 	 27 031,58 	 587,00 	 2 308,13 	 11 797,88 	 19 871,03 	 1 285,24 	 4 989,02 	 648,66 	 1 374,24 	 1 220,68 	 1 022,90 	 1 045,40 	 3 870,00 	 36 000,00 	 10 245,00 	 3 840,00 	 48 000,00 	 1 470,00 
09.01.1997	 12 599,96 	 1 461,87 	 27,65 	 98,77 	 12 071,00 	 2 690,36 	 15 900,00 	 26 719,95 	 237,70 	 216,00 	 11 555,23 	 53 017,67 	 952,00 	 28 830,46 	 3 975,00 	 3 419,00 	 10 285,27 	 9 162,68 	 2 483,40 	 5 549,16 	 2,79 	 23 153,74 	 11 342,56 	 498,73 	 3,90 	 290,00 	 14 250,00 	 3 430,42 	 3 044,40 	 27 031,58 	 587,00 	 2 308,13 	 11 797,88 	 19 871,03 	 1 285,24 	 4 989,02 	 648,66 	 1 374,24 	 1 220,68 	 1 022,90 	 1 045,40 	 3 870,00 	 36 000,00 	 10 245,00 	 3 840,00 	 48 000,00 	 1 470,00 
10.01.1997	 12 687,11 	 1 467,08 	 24,64 	 99,50 	 12 071,00 	 2 706,07 	 16 300,00 	 27 061,26 	 242,06 	 220,00 	 12 044,63 	 54 297,14 	 963,00 	 29 342,93 	 4 075,00 	 3 505,00 	 10 318,41 	 9 195,53 	 2 511,17 	 5 621,47 	 2,91 	 23 351,73 	 11 589,05 	 504,27 	 4,00 	 295,00 	 14 150,00 	 3 453,76 	 3 053,86 	 27 600,78 	 595,35 	 2 340,54 	 11 903,89 	 20 051,44 	 1 289,97 	 5 006,14 	 659,15 	 1 399,98 	 1 227,04 	 1 031,42 	 10 543,30 	 3 970,00 	 36 000,00 	 10 506,00 	 3 750,00 	 49 000,00 	 1 470,00 
