Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																										
Республики Беларусь ежедневно, за период с 01.01.2002 по 31.12.2002																										
																										
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGL)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 польский злотый (PLZ)	1 российский рубль (RUR)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 украинская гривна (UAH)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 эстонская крона (EEK)	10 иен (JPY)	10000 турецких лир (TRL)
01.01.2002	 2,31 	 714,93 	 187,19 	 1 580,00 	 1 391,51 	 15,48 	 10,48 	 990,94 	 5 137,21 	 32,93 	 2 503,76 	 394,85 	 120,59 	 174,69 	 395,59 	 52,31 	 1 994,51 	 855,79 	 298,25 	 2 281,60 	 43,32 	 146,35 	 939,08 	 88,93 	 120,91 	 10,95 
02.01.2002	 803,51 	 714,93 	 187,19 	 1 580,00 	 1 391,51 	 15,48 	 10,48 	 990,94 	 5 137,21 	 32,93 	 2 503,76 	 394,85 	 120,59 	 174,69 	 395,59 	 52,31 	 1 994,51 	 855,79 	 298,25 	 2 281,60 	 43,32 	 146,35 	 939,08 	 88,93 	 120,91 	 10,95 
03.01.2002	 803,51 	 714,93 	 187,19 	 1 580,00 	 1 391,51 	 15,48 	 10,48 	 990,94 	 5 137,21 	 32,93 	 2 503,76 	 394,85 	 120,59 	 174,69 	 395,59 	 52,31 	 1 994,51 	 855,79 	 298,25 	 2 281,60 	 43,32 	 146,35 	 939,08 	 88,93 	 120,91 	 10,95 
04.01.2002	 816,71 	 731,21 	 191,91 	 1 582,00 	 1 427,60 	 15,60 	 10,47 	 991,10 	 5 152,59 	 33,15 	 2 521,72 	 395,44 	 120,86 	 178,04 	 399,70 	 52,33 	 1 997,91 	 855,37 	 298,04 	 2 285,12 	 45,00 	 154,26 	 960,88 	 91,21 	 119,95 	 11,02 
05.01.2002	 820,84 	 730,70 	 191,59 	 1 590,00 	 1 427,18 	 15,67 	 10,50 	 995,96 	 5 177,13 	 33,32 	 2 530,44 	 397,43 	 121,42 	 178,27 	 403,83 	 52,48 	 2 009,16 	 860,97 	 299,46 	 2 287,93 	 44,66 	 154,21 	 964,51 	 91,22 	 121,34 	 11,24 
06.01.2002	 2,31 	 730,70 	 191,59 	 1 590,00 	 1 427,18 	 15,67 	 10,50 	 995,96 	 5 177,13 	 33,32 	 2 530,44 	 397,43 	 121,42 	 178,27 	 403,83 	 52,48 	 2 009,16 	 860,97 	 299,46 	 2 287,93 	 44,66 	 154,21 	 964,51 	 91,22 	 121,34 	 11,24 
07.01.2002	 2,31 	 730,70 	 191,59 	 1 590,00 	 1 427,18 	 15,67 	 10,50 	 995,96 	 5 177,13 	 33,32 	 2 530,44 	 397,43 	 121,42 	 178,27 	 403,83 	 52,48 	 2 009,16 	 860,97 	 299,46 	 2 287,93 	 44,66 	 154,21 	 964,51 	 91,22 	 121,34 	 11,24 
08.01.2002	 2,31 	 730,70 	 191,59 	 1 590,00 	 1 427,18 	 15,67 	 10,50 	 995,96 	 5 177,13 	 33,32 	 2 530,44 	 397,43 	 121,42 	 178,27 	 403,83 	 52,48 	 2 009,16 	 860,97 	 299,46 	 2 287,93 	 44,66 	 154,21 	 964,51 	 91,22 	 121,34 	 11,24 
09.01.2002	 2,31 	 727,79 	 191,14 	 1 598,00 	 1 421,34 	 15,62 	 10,54 	 998,56 	 5 199,62 	 33,49 	 2 529,08 	 399,50 	 122,03 	 178,85 	 406,72 	 52,74 	 2 007,54 	 863,90 	 300,88 	 2 302,56 	 44,08 	 153,99 	 967,66 	 90,82 	 120,57 	 11,39 
10.01.2002	 2,31 	 732,14 	 192,39 	 1 602,00 	 1 431,07 	 15,75 	 10,57 	 1 005,30 	 5 213,83 	 33,57 	 2 535,01 	 400,54 	 122,34 	 179,76 	 403,80 	 52,42 	 2 011,98 	 867,70 	 301,35 	 2 308,88 	 44,27 	 154,08 	 967,74 	 91,36 	 120,74 	 11,45 
11.01.2002	 2,31 	 732,51 	 192,69 	 1 605,00 	 1 432,62 	 15,76 	 10,59 	 1 005,20 	 5 223,33 	 33,63 	 2 539,36 	 401,30 	 122,45 	 180,02 	 404,89 	 52,62 	 2 018,69 	 870,51 	 302,12 	 2 314,73 	 44,63 	 155,01 	 965,91 	 91,54 	 121,27 	 11,50 
12.01.2002	 2,31 	 733,59 	 192,95 	 1 608,00 	 1 434,01 	 15,71 	 10,60 	 1 005,44 	 5 233,27 	 33,69 	 2 543,70 	 402,03 	 122,84 	 180,51 	 397,72 	 52,82 	 2 022,54 	 872,02 	 302,88 	 2 318,82 	 44,49 	 156,77 	 968,03 	 91,67 	 121,62 	 11,68 
