Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																										
Республики Беларусь ежедневно, за период с 01.01.2005 по 31.12.2005																										
																										
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 польский злотый (PLN)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 украинская гривна (UAH)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 эстонская крона (EEK)	10 иен (JPY)	10000 турецких лир (TRL)
01.01.2005	 1 683,38 	 1 511,19 	 397,54 	 2 170,00 	 2 955,65 	 35,02 	 16,70 	 1 793,39 	 7 363,42 	 52,13 	 4 233,32 	 855,95 	 175,50 	 358,50 	 725,27 	 77,91 	 3 361,31 	 1 325,76 	 408,78 	 4 159,13 	 96,84 	 328,36 	 1 914,00 	 188,89 	 209,24 	 16,09 
02.01.2005	 1 683,38 	 1 511,19 	 397,54 	 2 170,00 	 2 955,65 	 35,02 	 16,70 	 1 793,39 	 7 363,42 	 52,13 	 4 233,32 	 855,95 	 175,50 	 358,50 	 725,27 	 77,91 	 3 361,31 	 1 325,76 	 408,78 	 4 159,13 	 96,84 	 328,36 	 1 914,00 	 188,89 	 209,24 	 16,09 
03.01.2005	 1 683,38 	 1 511,19 	 397,54 	 2 170,00 	 2 955,65 	 35,02 	 16,70 	 1 793,39 	 7 363,42 	 52,13 	 4 233,32 	 855,95 	 175,50 	 358,50 	 725,27 	 77,91 	 3 361,31 	 1 325,76 	 408,78 	 4 159,13 	 96,84 	 328,36 	 1 914,00 	 188,89 	 209,24 	 16,09 
04.01.2005	 1 688,69 	 1 502,30 	 395,08 	 2 170,00 	 2 938,40 	 35,20 	 16,70 	 1 800,83 	 7 430,74 	 53,17 	 4 220,56 	 850,95 	 175,35 	 357,11 	 720,33 	 77,91 	 3 358,81 	 1 325,51 	 408,66 	 4 147,63 	 96,61 	 326,56 	 1 903,17 	 187,77 	 211,34 	 16,09 
05.01.2005	 1 682,84 	 1 487,42 	 391,29 	 2 170,00 	 2 909,43 	 34,76 	 16,70 	 1 790,87 	 7 430,62 	 53,17 	 4 176,69 	 842,65 	 175,35 	 353,16 	 715,06 	 77,91 	 3 347,70 	 1 323,01 	 408,66 	 4 122,57 	 96,03 	 321,95 	 1 880,66 	 185,93 	 210,32 	 16,09 
06.01.2005	 1 658,75 	 1 471,98 	 387,22 	 2 170,00 	 2 879,37 	 34,65 	 16,69 	 1 773,31 	 7 431,25 	 53,17 	 4 134,12 	 833,91 	 175,21 	 346,94 	 697,42 	 77,91 	 3 334,01 	 1 316,35 	 408,47 	 4 076,35 	 94,62 	 317,62 	 1 855,57 	 184,01 	 207,32 	 16,09 
07.01.2005	 1 647,03 	 1 464,04 	 384,89 	 2 170,00 	 2 863,64 	 34,46 	 16,69 	 1 765,30 	 7 430,62 	 53,17 	 4 108,29 	 829,30 	 175,21 	 346,46 	 693,18 	 77,91 	 3 312,68 	 1 313,44 	 408,99 	 4 066,36 	 94,06 	 316,87 	 1 846,34 	 183,02 	 207,21 	 16,09 
08.01.2005	 1 647,03 	 1 464,04 	 384,89 	 2 170,00 	 2 863,64 	 34,46 	 16,69 	 1 765,30 	 7 430,62 	 53,17 	 4 108,29 	 829,30 	 175,21 	 346,46 	 693,18 	 77,91 	 3 312,68 	 1 313,44 	 408,99 	 4 066,36 	 94,06 	 316,87 	 1 846,34 	 183,02 	 207,21 	 16,09 
09.01.2005	 1 647,03 	 1 464,04 	 384,89 	 2 170,00 	 2 863,64 	 34,46 	 16,69 	 1 765,30 	 7 430,62 	 53,17 	 4 108,29 	 829,30 	 175,21 	 346,46 	 693,18 	 77,91 	 3 312,68 	 1 313,44 	 408,99 	 4 066,36 	 94,06 	 316,87 	 1 846,34 	 183,02 	 207,21 	 16,09 
10.01.2005	 1 647,03 	 1 464,04 	 384,89 	 2 170,00 	 2 863,64 	 34,46 	 16,69 	 1 765,30 	 7 430,62 	 53,17 	 4 108,29 	 829,30 	 175,21 	 346,46 	 693,18 	 77,91 	 3 312,68 	 1 313,44 	 408,99 	 4 066,36 	 94,06 	 316,87 	 1 846,34 	 183,02 	 207,21 	 16,09 
11.01.2005	 1 646,05 	 1 450,68 	 382,16 	 2 170,00 	 2 843,24 	 34,20 	 16,68 	 1 766,17 	 7 419,82 	 53,15 	 4 080,87 	 823,31 	 175,28 	 345,31 	 696,47 	 77,91 	 3 311,25 	 1 318,03 	 408,74 	 4 061,81 	 93,79 	 314,37 	 1 838,52 	 181,74 	 207,63 	 16,09 
12.01.2005	 1 655,71 	 1 451,35 	 383,54 	 2 171,00 	 2 853,56 	 34,26 	 16,70 	 1 779,80 	 7 434,93 	 53,17 	 4 095,45 	 826,51 	 175,08 	 347,57 	 701,77 	 77,66 	 3 302,29 	 1 321,97 	 409,12 	 4 063,68 	 94,25 	 315,66 	 1 846,09 	 182,42 	 208,59 	 16,10 
13.01.2005	 1 641,49 	 1 451,35 	 382,08 	 2 171,00 	 2 841,95 	 34,37 	 16,70 	 1 779,07 	 7 434,68 	 53,17 	 4 080,06 	 823,19 	 174,73 	 346,52 	 698,68 	 77,87 	 3 310,43 	 1 322,33 	 408,43 	 4 066,07 	 93,59 	 314,02 	 1 834,54 	 181,63 	 209,74 	 16,10 
