Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																											
Республики Беларусь ежедневно, за период с 01.01.2009 по 31.12.2009																											
																											
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 гривна (UAH)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 злотый (PLN)	1 исландская крона (ISK)	1 канадский доллар (CAD)	1 китайский юань (CNY)	1 крона (EEK)	1 кувейтский динар (KWD)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 новая турецкая лира (TRY)	1 норвежская крона (NOK)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 сом (KGS)	1 тенге (KZT)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	10 иен (JPY)
01.01.2009	 1 500,73 	 1 572,61 	 273,29 	 412,89 	 2 200,00 	 3 077,14 	 749,88 	 17,42 	 1 808,02 	 321,44 	 196,62 	 7 966,68 	 4 354,28 	 890,98 	 210,63 	 1 448,56 	 304,44 	 76,89 	 3 395,19 	 1 522,70 	 55,84 	 18,21 	 3 239,06 	 116,43 	 270,02 	 2 037,23 	 243,69 
02.01.2009	 1 824,13 	 1 894,07 	 329,19 	 497,24 	 2 650,00 	 3 703,00 	 889,89 	 21,89 	 2 186,11 	 388,39 	 236,73 	 9 597,28 	 5 234,57 	 1 073,48 	 254,81 	 1 719,66 	 380,10 	 90,16 	 4 081,72 	 1 840,28 	 67,23 	 21,88 	 3 892,32 	 137,88 	 341,02 	 2 491,30 	 292,28 
03.01.2009	 1 824,13 	 1 894,07 	 329,19 	 497,24 	 2 650,00 	 3 703,00 	 889,89 	 21,89 	 2 186,11 	 388,39 	 236,73 	 9 597,28 	 5 234,57 	 1 073,48 	 254,81 	 1 719,66 	 380,10 	 90,16 	 4 081,72 	 1 840,28 	 67,23 	 21,88 	 3 892,32 	 137,88 	 341,02 	 2 491,30 	 292,28 
04.01.2009	 1 824,13 	 1 894,07 	 329,19 	 497,24 	 2 650,00 	 3 703,00 	 889,89 	 21,89 	 2 186,11 	 388,39 	 236,73 	 9 597,28 	 5 234,57 	 1 073,48 	 254,81 	 1 719,66 	 380,10 	 90,16 	 4 081,72 	 1 840,28 	 67,23 	 21,88 	 3 892,32 	 137,88 	 341,02 	 2 491,30 	 292,28 
05.01.2009	 1 824,13 	 1 894,07 	 329,19 	 497,24 	 2 650,00 	 3 703,00 	 889,89 	 21,89 	 2 186,11 	 388,39 	 236,73 	 9 597,28 	 5 234,57 	 1 073,48 	 254,81 	 1 719,66 	 380,10 	 90,16 	 4 081,72 	 1 840,28 	 67,23 	 21,88 	 3 892,32 	 137,88 	 341,02 	 2 491,30 	 292,28 
06.01.2009	 1 891,02 	 1 857,62 	 329,81 	 487,85 	 2 655,00 	 3 635,76 	 884,76 	 21,69 	 2 178,46 	 388,65 	 232,24 	 9 487,56 	 5 136,39 	 1 052,49 	 255,90 	 1 735,97 	 385,10 	 90,16 	 4 089,42 	 1 806,31 	 67,35 	 21,94 	 3 850,94 	 136,00 	 341,01 	 2 413,64 	 285,55 
07.01.2009	 1 883,86 	 1 825,75 	 320,85 	 479,13 	 2 655,00 	 3 565,93 	 878,91 	 21,42 	 2 225,30 	 388,39 	 228,21 	 9 407,89 	 5 051,37 	 1 034,16 	 255,53 	 1 737,91 	 378,49 	 90,16 	 4 034,03 	 1 796,41 	 67,35 	 21,94 	 3 901,39 	 135,29 	 333,79 	 2 376,58 	 283,38 
08.01.2009	 1 883,86 	 1 825,75 	 320,85 	 479,13 	 2 655,00 	 3 565,93 	 878,91 	 21,42 	 2 225,30 	 388,39 	 228,21 	 9 407,89 	 5 051,37 	 1 034,16 	 255,53 	 1 737,91 	 378,49 	 90,16 	 4 034,03 	 1 796,41 	 67,35 	 21,94 	 3 901,39 	 135,29 	 333,79 	 2 376,58 	 283,38 
09.01.2009	 1 850,31 	 1 834,32 	 316,77 	 481,48 	 2 645,00 	 3 581,33 	 889,49 	 21,36 	 2 195,02 	 386,96 	 229,30 	 9 387,76 	 5 075,80 	 1 039,15 	 254,82 	 1 710,37 	 376,51 	 90,16 	 4 027,70 	 1 783,61 	 67,10 	 21,83 	 3 992,23 	 136,88 	 334,73 	 2 396,27 	 288,02 
10.01.2009	 1 868,30 	 1 845,78 	 326,34 	 484,35 	 2 645,00 	 3 611,75 	 890,03 	 21,38 	 2 228,12 	 386,98 	 230,72 	 9 379,27 	 5 101,75 	 1 045,45 	 254,82 	 1 696,06 	 380,99 	 90,16 	 4 034,18 	 1 787,34 	 67,10 	 21,82 	 4 014,32 	 136,53 	 337,88 	 2 415,86 	 289,88 
