Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																											
Республики Беларусь ежедневно, за период с 01.01.2012 по 31.12.2012																											
																											
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 гривна (UAH)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 злотый (PLN)	1 исландская крона (ISK)	1 канадский доллар (CAD)	1 китайский юань (CNY)	1 кувейтский динар (KWD)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 сом (KGS)	1 тенге (KZT)	1 турецкая лира (TRY)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	10 иен (JPY)	1000 иранских риалов (IRR)
01.01.2012	 8 423,06 	 5 514,65 	 1 039,85 	 1 450,76 	 8 350,00 	 10 800,00 	 2 450,91 	 67,61 	 8 158,28 	 1 321,40 	 29 959,46 	 15 444,37 	 3 123,71 	 714,09 	 1 384,34 	 261,00 	 12 880,46 	 6 410,99 	 179,07 	 56,37 	 4 360,31 	 12 904,51 	 418,12 	 1 205,37 	 8 846,28 	 1 074,44 	 747,54 
02.01.2012	 8 423,06 	 5 514,65 	 1 039,85 	 1 450,76 	 8 350,00 	 10 800,00 	 2 450,91 	 67,61 	 8 158,28 	 1 321,40 	 29 959,46 	 15 444,37 	 3 123,71 	 714,09 	 1 384,34 	 261,00 	 12 880,46 	 6 410,99 	 179,07 	 56,37 	 4 360,31 	 12 904,51 	 418,12 	 1 205,37 	 8 846,28 	 1 074,44 	 747,54 
03.01.2012	 8 423,06 	 5 514,65 	 1 039,85 	 1 450,76 	 8 350,00 	 10 800,00 	 2 450,91 	 67,61 	 8 158,28 	 1 321,40 	 29 959,46 	 15 444,37 	 3 123,71 	 714,09 	 1 384,34 	 261,00 	 12 880,46 	 6 410,99 	 179,07 	 56,37 	 4 360,31 	 12 904,51 	 418,12 	 1 205,37 	 8 846,28 	 1 074,44 	 747,54 
04.01.2012	 8 593,40 	 5 540,44 	 1 042,45 	 1 457,71 	 8 350,00 	 10 850,00 	 2 425,42 	 68,25 	 8 236,74 	 1 326,65 	 29 974,51 	 15 491,65 	 3 138,57 	 714,67 	 1 400,69 	 261,00 	 12 819,50 	 6 466,85 	 179,63 	 56,23 	 4 419,63 	 12 997,19 	 425,10 	 1 214,78 	 8 901,92 	 1 086,18 	 745,30 
05.01.2012	 8 711,22 	 5 610,47 	 1 045,75 	 1 475,68 	 8 400,00 	 10 950,00 	 2 458,69 	 69,00 	 8 297,53 	 1 334,71 	 30 222,35 	 15 690,67 	 3 178,15 	 716,52 	 1 423,70 	 261,00 	 12 960,61 	 6 540,27 	 180,70 	 56,71 	 4 506,20 	 13 157,34 	 425,35 	 1 233,25 	 9 001,29 	 1 096,18 	 749,83 
06.01.2012	 8 698,69 	 5 572,80 	 1 053,03 	 1 465,66 	 8 440,00 	 10 900,00 	 2 417,06 	 68,78 	 8 322,24 	 1 339,35 	 30 301,94 	 15 609,40 	 3 156,26 	 719,94 	 1 419,56 	 261,00 	 12 994,90 	 6 538,33 	 181,57 	 56,97 	 4 482,21 	 13 171,04 	 420,53 	 1 233,35 	 8 943,52 	 1 099,10 	 753,40 
07.01.2012	 8 659,14 	 5 524,86 	 1 056,92 	 1 453,04 	 8 450,00 	 10 800,00 	 2 402,75 	 68,30 	 8 296,51 	 1 338,70 	 30 298,68 	 15 474,77 	 3 129,57 	 719,59 	 1 406,50 	 261,00 	 12 952,08 	 6 526,86 	 181,78 	 56,98 	 4 501,86 	 13 102,15 	 419,60 	 1 220,87 	 8 864,41 	 1 095,48 	 754,46 
08.01.2012	 8 659,14 	 5 524,86 	 1 056,92 	 1 453,04 	 8 450,00 	 10 800,00 	 2 402,75 	 68,30 	 8 296,51 	 1 338,70 	 30 298,68 	 15 474,77 	 3 129,57 	 719,59 	 1 406,50 	 261,00 	 12 952,08 	 6 526,86 	 181,78 	 56,98 	 4 501,86 	 13 102,15 	 419,60 	 1 220,87 	 8 864,41 	 1 095,48 	 754,46 
09.01.2012	 8 659,14 	 5 524,86 	 1 056,92 	 1 453,04 	 8 450,00 	 10 800,00 	 2 402,75 	 68,30 	 8 296,51 	 1 338,70 	 30 298,68 	 15 474,77 	 3 129,57 	 719,59 	 1 406,50 	 261,00 	 12 952,08 	 6 526,86 	 181,78 	 56,98 	 4 501,86 	 13 102,15 	 419,60 	 1 220,87 	 8 864,41 	 1 095,48 	 754,46 
10.01.2012	 8 664,39 	 5 531,07 	 1 054,14 	 1 454,98 	 8 470,00 	 10 790,00 	 2 412,25 	 68,43 	 8 237,30 	 1 341,35 	 30 308,45 	 15 492,96 	 3 132,92 	 717,80 	 1 410,71 	 261,00 	 12 960,20 	 6 530,96 	 182,21 	 57,02 	 4 531,23 	 13 087,42 	 419,00 	 1 224,68 	 8 899,86 	 1 101,36 	 751,79 
