Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																													
Республики Беларусь ежедневно, за период с 01.01.2013 по 24.06.2013																													
																													
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 гривна (UAH)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 злотый (PLN)	1 исландская крона (ISK)	1 канадский доллар (CAD)	1 китайский юань (CNY)	1 кувейтский динар (KWD)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 российский рубль (RUB)	1 СДР (XDR)	1 СДР (Специальные права заимствования) (XDR)	1 сингапурский доллар (SGD)	1 сом (KGS)	1 тенге (KZT)	1 турецкая лира (TRY)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	10 иен (JPY)	10 йен (JPY)	1000 иранских риалов (IRR)
01.01.2013	 8 898,66 	 5 794,85 	 1 059,99 	 1 519,49 	 8 570,00 	 11 340,00 	 2 786,18 	 66,95 	 8 614,36 	 1 375,22 	 30 441,35 	 16 249,53 	 3 282,77 	 708,26 	 1 536,48 	 282,00 	 13 210,48 		 7 008,79 	 180,50 	 57,03 	 4 783,30 	 13 801,98 	 451,93 	 1 316,17 	 9 378,42 	 993,39 		 698,17 
02.01.2013	 8 898,66 	 5 794,85 	 1 059,99 	 1 519,49 	 8 570,00 	 11 340,00 	 2 786,18 	 66,95 	 8 614,36 	 1 375,22 	 30 441,35 	 16 249,53 	 3 282,77 	 708,26 	 1 536,48 	 282,00 	 13 210,48 		 7 008,79 	 180,50 	 57,03 	 4 783,30 	 13 801,98 	 451,93 	 1 316,17 	 9 378,42 	 993,39 		 698,17 
03.01.2013	 8 898,66 	 5 794,85 	 1 059,99 	 1 519,49 	 8 570,00 	 11 340,00 	 2 786,18 	 66,95 	 8 614,36 	 1 375,22 	 30 441,35 	 16 249,53 	 3 282,77 	 708,26 	 1 536,48 	 282,00 	 13 210,48 		 7 008,79 	 180,50 	 57,03 	 4 783,30 	 13 801,98 	 451,93 	 1 316,17 	 9 378,42 	 993,39 		 698,17 
04.01.2013	 9 002,36 	 5 761,54 	 1 065,92 	 1 510,73 	 8 570,00 	 11 270,00 	 2 767,46 	 66,65 	 8 698,74 	 1 375,54 	 30 432,16 	 16 145,44 	 3 264,26 	 709,00 	 1 540,33 	 284,00 	 13 199,60 		 7 010,80 	 180,85 	 56,92 	 4 813,53 	 13 908,68 	 446,23 	 1 316,95 	 9 316,74 	 983,02 		 698,17 
05.01.2013	 9 010,15 	 5 746,05 	 1 073,38 	 1 506,65 	 8 630,00 	 11 230,00 	 2 738,51 	 66,56 	 8 714,97 	 1 385,12 	 30 555,16 	 16 100,75 	 3 255,74 	 711,46 	 1 542,70 	 284,00 	 13 234,80 		 7 021,97 	 182,12 	 57,25 	 4 827,97 	 13 858,05 	 444,52 	 1 319,93 	 9 295,06 	 978,51 		 703,05 
06.01.2013	 9 010,15 	 5 746,05 	 1 073,38 	 1 506,65 	 8 630,00 	 11 230,00 	 2 738,51 	 66,56 	 8 714,97 	 1 385,12 	 30 555,16 	 16 100,75 	 3 255,74 	 711,46 	 1 542,70 	 284,00 	 13 234,80 		 7 021,97 	 182,12 	 57,25 	 4 827,97 	 13 858,05 	 444,52 	 1 319,93 	 9 295,06 	 978,51 		 703,05 
07.01.2013	 9 010,15 	 5 746,05 	 1 073,38 	 1 506,65 	 8 630,00 	 11 230,00 	 2 738,51 	 66,56 	 8 714,97 	 1 385,12 	 30 555,16 	 16 100,75 	 3 255,74 	 711,46 	 1 542,70 	 284,00 	 13 234,80 		 7 021,97 	 182,12 	 57,25 	 4 827,97 	 13 858,05 	 444,52 	 1 319,93 	 9 295,06 	 978,51 		 703,05 
08.01.2013	 9 010,15 	 5 746,05 	 1 073,38 	 1 506,65 	 8 630,00 	 11 230,00 	 2 738,51 	 66,56 	 8 714,97 	 1 385,12 	 30 555,16 	 16 100,75 	 3 255,74 	 711,46 	 1 542,70 	 284,00 	 13 234,80 		 7 021,97 	 182,12 	 57,25 	 4 827,97 	 13 858,05 	 444,52 	 1 319,93 	 9 295,06 	 978,51 		 703,05 
09.01.2013	 9 026,29 	 5 770,39 	 1 070,90 	 1 513,09 	 8 610,00 	 11 290,00 	 2 737,46 	 66,85 	 8 727,83 	 1 383,33 	 30 541,66 	 16 184,21 	 3 269,29 	 710,69 	 1 541,86 	 283,50 	 13 149,79 		 7 001,71 	 181,70 	 57,15 	 4 833,55 	 13 844,45 	 441,90 	 1 322,02 	 9 334,85 	 984,90 		 701,23 
10.01.2013	 9 093,31 	 5 784,41 	 1 071,87 	 1 516,36 	 8 650,00 	 11 320,00 	 2 749,22 	 66,96 	 8 769,71 	 1 389,29 	 30 674,85 	 16 225,85 	 3 277,38 	 710,47 	 1 544,97 	 284,50 	 13 252,49 		 7 049,43 	 182,54 	 57,34 	 4 867,75 	 13 888,01 	 443,61 	 1 318,99 	 9 358,94 	 986,54 		 704,48 
