Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																																															
Республики Беларусь ежедневно, за период с 01.01.1998 по 31.12.1998																																															
																																															
Дата	1 австралийский доллар (AUD)	1 австрийский шиллинг (ATS)	1 болгарский лев (BGL)	1 венгерский форинт (HUF)	1 грузинский лари (GEL)	1 датская крона (DKK)	1 доллар США (USD)	1 ирландский фунт (IEP)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 немецкая марка (DEM)	1 нидерландский гульден (NLG)	1 норвежская крона (NOK)	1 польский злотый (PLZ)	1 российский рубль (RUR)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 словацкая крона (SKK)	1 туркменский манат (TMM)	1 узбекский сум (UZS)	1 украинская гривна (UAH)	1 финляндская марка (FIM)	1 французский франк (FRF)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 Экю (XEU)	1 эстонская крона (EEK)	10 бельгийских франков (BEF)	10 греческих драхм (GRD)	10 иен (JPY)	10 испанских песет (ESP)	10 португальских эскудо (PTE)	100 итальянских лир (ITL)	1000 азербайджанских манат (AZM)	1000 армянских драмов (AMD)	1000 ливанских фунтов (LBP)	1000 румынских лей (ROL)	1000 таджикских рублей (TJR)	10000 турецких лир (TRL)
01.01.1998	 20 099,35 	 2 436,11 	 17,20 	 150,56 	 20 678,88 	 4 498,62 	 30 740,00 	 44 164,13 	 426,35 	 406,88 	 21 353,15 	 100 853,00 	 1 769,20 	 52 101,69 	 7 685,96 	 6 592,60 	 17 139,67 	 15 209,54 	 4 173,57 	 8 775,84 	 5 160,00 	 41 923,52 	 18 341,29 	 883,87 	 7,38 	 383,43 	 16 213,08 	 5 662,50 	 5 122,48 	 51 159,07 	 887,44 	 3 883,37 	 21 119,89 	 33 898,53 	 2 142,52 	 8 305,86 	 1 086,03 	 2 368,99 	 2 024,57 	 1 675,66 	 1 743,92 	 7 870,00 	 36 000,00 	 40 394,00 	 3 760,00 	 40 680,00 	 1 490,00 
02.01.1998	 20 099,35 	 2 436,11 	 17,20 	 150,56 	 20 678,88 	 4 498,62 	 30 740,00 	 44 164,13 	 426,35 	 406,88 	 21 353,15 	 100 853,00 	 1 769,20 	 52 101,69 	 7 685,96 	 6 592,60 	 17 139,67 	 15 209,54 	 4 173,57 	 8 775,84 	 5 160,00 	 41 923,52 	 18 341,29 	 883,87 	 7,38 	 383,43 	 16 213,08 	 5 662,50 	 5 122,48 	 51 159,07 	 887,44 	 3 883,37 	 21 119,89 	 33 898,53 	 2 142,52 	 8 305,86 	 1 086,03 	 2 368,99 	 2 024,57 	 1 675,66 	 1 743,92 	 7 870,00 	 36 000,00 	 40 394,00 	 3 760,00 	 40 680,00 	 1 490,00 
03.01.1998	 20 099,35 	 2 436,11 	 17,20 	 150,56 	 20 678,88 	 4 498,62 	 30 740,00 	 44 164,13 	 426,35 	 406,88 	 21 353,15 	 100 853,00 	 1 769,20 	 52 101,69 	 7 685,96 	 6 592,60 	 17 139,67 	 15 209,54 	 4 173,57 	 8 775,84 	 5 160,00 	 41 923,52 	 18 341,29 	 883,87 	 7,38 	 383,43 	 16 213,08 	 5 662,50 	 5 122,48 	 51 159,07 	 887,44 	 3 883,37 	 21 119,89 	 33 898,53 	 2 142,52 	 8 305,86 	 1 086,03 	 2 368,99 	 2 024,57 	 1 675,66 	 1 743,92 	 7 870,00 	 36 000,00 	 40 394,00 	 3 760,00 	 40 680,00 	 1 490,00 
04.01.1998	 20 099,35 	 2 436,11 	 17,20 	 150,56 	 20 678,88 	 4 498,62 	 30 740,00 	 44 164,13 	 426,35 	 406,88 	 21 353,15 	 100 853,00 	 1 769,20 	 52 101,69 	 7 685,96 	 6 592,60 	 17 139,67 	 15 209,54 	 4 173,57 	 8 775,84 	 5 160,00 	 41 923,52 	 18 341,29 	 883,87 	 7,38 	 383,43 	 16 213,08 	 5 662,50 	 5 122,48 	 51 159,07 	 887,44 	 3 883,37 	 21 119,89 	 33 898,53 	 2 142,52 	 8 305,86 	 1 086,03 	 2 368,99 	 2 024,57 	 1 675,66 	 1 743,92 	 7 870,00 	 36 000,00 	 40 394,00 	 3 760,00 	 40 680,00 	 1 490,00 
05.01.1998	 20 099,35 	 2 436,11 	 17,20 	 150,56 	 20 678,88 	 4 498,62 	 30 740,00 	 44 164,13 	 426,35 	 406,88 	 21 353,15 	 100 853,00 	 1 769,20 	 52 101,69 	 7 685,96 	 6 592,60 	 17 139,67 	 15 209,54 	 4 173,57 	 8 775,84 	 5 160,00 	 41 923,52 	 18 341,29 	 883,87 	 7,38 	 383,43 	 16 213,08 	 5 662,50 	 5 122,48 	 51 159,07 	 887,44 	 3 883,37 	 21 119,89 	 33 898,53 	 2 142,52 	 8 305,86 	 1 086,03 	 2 368,99 	 2 024,57 	 1 675,66 	 1 743,92 	 7 870,00 	 36 000,00 	 40 394,00 	 3 760,00 	 40 680,00 	 1 490,00 
06.01.1998	 20 099,35 	 2 436,11 	 17,20 	 150,56 	 20 678,88 	 4 498,62 	 30 740,00 	 44 164,13 	 426,35 	 406,88 	 21 353,15 	 100 853,00 	 1 769,20 	 52 101,69 	 7 685,96 	 6 592,60 	 17 139,67 	 15 209,54 	 4 173,57 	 8 775,84 	 5 160,00 	 41 923,52 	 18 341,29 	 883,87 	 7,38 	 383,43 	 16 213,08 	 5 662,50 	 5 122,48 	 51 159,07 	 887,44 	 3 883,37 	 21 119,89 	 33 898,53 	 2 142,52 	 8 305,86 	 1 086,03 	 2 368,99 	 2 024,57 	 1 675,66 	 1 743,92 	 7 870,00 	 36 000,00 	 40 394,00 	 3 760,00 	 40 680,00 	 1 490,00 
07.01.1998	 20 099,35 	 2 436,11 	 17,20 	 150,56 	 20 678,88 	 4 498,62 	 30 740,00 	 44 164,13 	 426,35 	 406,88 	 21 353,15 	 100 853,00 	 1 769,20 	 52 101,69 	 7 685,96 	 6 592,60 	 17 139,67 	 15 209,54 	 4 173,57 	 8 775,84 	 5 160,00 	 41 923,52 	 18 341,29 	 883,87 	 7,38 	 383,43 	 16 213,08 	 5 662,50 	 5 122,48 	 51 159,07 	 887,44 	 3 883,37 	 21 119,89 	 33 898,53 	 2 142,52 	 8 305,86 	 1 086,03 	 2 368,99 	 2 024,57 	 1 675,66 	 1 743,92 	 7 870,00 	 36 000,00 	 40 394,00 	 3 760,00 	 40 680,00 	 1 490,00 
08.01.1998	 19 599,58 	 2 419,58 	 16,90 	 149,26 	 20 678,88 	 4 427,20 	 30 800,00 	 42 719,57 	 421,74 	 407,67 	 21 594,33 	 100 620,70 	 1 772,00 	 51 756,01 	 7 699,04 	 6 608,73 	 16 857,31 	 14 956,54 	 4 130,02 	 8 704,25 	 5 160,00 	 41 961,85 	 17 741,94 	 881,81 	 7,39 	 383,27 	 16 219,06 	 5 566,30 	 5 035,39 	 50 147,02 	 856,10 	 3 825,42 	 20 777,12 	 33 325,62 	 2 106,80 	 8 174,10 	 1 066,11 	 2 301,94 	 1 989,54 	 1 647,37 	 1 714,30 	 7 870,00 	 36 000,00 	 40 480,00 	 3 750,00 	 41 230,00 	 1 470,00 
09.01.1998	 19 590,92 	 2 392,33 	 16,87 	 148,93 	 20 678,88 	 4 419,69 	 30 830,00 	 42 101,44 	 421,87 	 408,07 	 21 515,81 	 100 685,80 	 1 772,00 	 51 719,51 	 7 705,96 	 6 615,17 	 16 830,44 	 14 929,06 	 4 096,47 	 8 715,19 	 5 160,00 	 41 597,52 	 17 354,35 	 875,11 	 7,39 	 383,64 	 16 234,86 	 5 561,27 	 5 026,17 	 49 966,21 	 853,06 	 3 809,18 	 20 838,12 	 33 301,04 	 2 103,22 	 8 158,24 	 1 064,17 	 2 312,83 	 1 988,01 	 1 646,11 	 1 712,92 	 7 870,00 	 36 000,00 	 40 380,00 	 3 700,00 	 41 230,00 	 1 460,00 
10.01.1998	 19 841,44 	 2 421,63 	 17,06 	 150,25 	 20 678,88 	 4 474,41 	 30 860,00 	 42 380,04 	 425,42 	 408,07 	 21 621,24 	 100 816,70 	 1 772,00 	 52 005,39 	 7 713,26 	 6 618,76 	 17 035,61 	 15 117,08 	 4 153,04 	 8 699,08 	 5 160,00 	 41 638,00 	 17 494,33 	 881,34 	 7,39 	 383,64 	 16 233,56 	 5 625,23 	 5 089,30 	 49 965,43 	 863,29 	 3 866,97 	 20 998,91 	 33 652,81 	 2 129,14 	 8 259,73 	 1 075,86 	 2 355,73 	 2 009,51 	 1 665,86 	 1 733,03 	 7 930,00 	 36 000,00 	 40 393,00 	 3 680,00 	 41 310,00 	 1 470,00 
