Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																										
Республики Беларусь ежедневно, за период с 01.01.2006 по 31.12.2006																										
																										
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 польский злотый (PLN)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 украинская гривна (UAH)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 эстонская крона (EEK)	10 иен (JPY)	10000 турецких лир (TRL)
01.01.2006	 1 579,25 	 1 301,95 	 341,34 	 2 152,00 	 2 546,35 	 34,12 	 16,10 	 1 853,02 	 7 367,59 	 52,11 	 3 657,38 	 737,44 	 167,80 	 318,35 	 659,82 	 74,86 	 3 075,42 	 1 294,24 	 426,27 	 3 712,09 	 87,67 	 270,40 	 1 635,44 	 162,75 	 183,34 	 15,96 
02.01.2006	 1 579,25 	 1 301,95 	 341,34 	 2 152,00 	 2 546,35 	 34,12 	 16,10 	 1 853,02 	 7 367,59 	 52,11 	 3 657,38 	 737,44 	 167,80 	 318,35 	 659,82 	 74,86 	 3 075,42 	 1 294,24 	 426,27 	 3 712,09 	 87,67 	 270,40 	 1 635,44 	 162,75 	 183,34 	 15,96 
03.01.2006	 1 579,25 	 1 301,95 	 341,34 	 2 152,00 	 2 546,35 	 34,12 	 16,10 	 1 853,02 	 7 367,59 	 52,11 	 3 657,38 	 737,44 	 167,80 	 318,35 	 659,82 	 74,86 	 3 075,42 	 1 294,24 	 426,27 	 3 712,09 	 87,67 	 270,40 	 1 635,44 	 162,75 	 183,34 	 15,96 
04.01.2006	 1 585,49 	 1 306,02 	 342,30 	 2 152,00 	 2 554,53 	 34,20 	 16,10 	 1 854,29 	 7 369,86 	 52,11 	 3 668,29 	 739,52 	 167,73 	 320,61 	 661,30 	 74,86 	 3 073,79 	 1 298,22 	 426,27 	 3 724,68 	 87,96 	 271,63 	 1 644,32 	 163,24 	 183,81 	 15,96 
05.01.2006	 1 598,08 	 1 326,68 	 347,79 	 2 152,00 	 2 594,77 	 34,56 	 16,08 	 1 864,09 	 7 367,84 	 52,11 	 3 727,70 	 751,42 	 167,96 	 326,83 	 676,96 	 74,86 	 3 082,91 	 1 306,70 	 426,24 	 3 773,32 	 89,65 	 278,13 	 1 672,56 	 165,82 	 185,57 	 15,96 
06.01.2006	 1 606,36 	 1 330,53 	 348,80 	 2 152,00 	 2 602,41 	 34,75 	 16,08 	 1 873,01 	 7 365,83 	 52,11 	 3 738,38 	 753,74 	 167,93 	 328,45 	 685,94 	 74,86 	 3 106,13 	 1 308,72 	 425,53 	 3 770,52 	 89,97 	 278,39 	 1 680,07 	 166,32 	 185,59 	 15,96 
07.01.2006	 1 605,61 	 1 331,07 	 349,02 	 2 152,00 	 2 603,70 	 35,04 	 16,08 	 1 845,39 	 7 369,61 	 52,11 	 3 741,31 	 754,16 	 167,15 	 328,32 	 683,52 	 74,86 	 3 107,66 	 1 306,50 	 425,11 	 3 777,30 	 90,00 	 279,23 	 1 685,27 	 166,41 	 185,29 	 15,96 
08.01.2006	 1 605,61 	 1 331,07 	 349,02 	 2 152,00 	 2 603,70 	 35,04 	 16,08 	 1 845,39 	 7 369,61 	 52,11 	 3 741,31 	 754,16 	 167,15 	 328,32 	 683,52 	 74,86 	 3 107,66 	 1 306,50 	 425,11 	 3 777,30 	 90,00 	 279,23 	 1 685,27 	 166,41 	 185,29 	 15,96 
09.01.2006	 1 605,61 	 1 331,07 	 349,02 	 2 152,00 	 2 603,70 	 35,04 	 16,08 	 1 845,39 	 7 369,61 	 52,11 	 3 741,31 	 754,16 	 167,15 	 328,32 	 683,52 	 74,86 	 3 107,66 	 1 306,50 	 425,11 	 3 777,30 	 90,00 	 279,23 	 1 685,27 	 166,41 	 185,29 	 15,96 
10.01.2006	 1 617,77 	 1 328,44 	 348,30 	 2 152,00 	 2 598,43 	 35,22 	 16,09 	 1 840,18 	 7 369,61 	 52,11 	 3 733,19 	 752,53 	 166,89 	 327,80 	 688,55 	 74,86 	 3 109,08 	 1 316,45 	 425,30 	 3 799,03 	 90,00 	 278,26 	 1 684,21 	 166,08 	 188,60 	 15,96 
11.01.2006	 1 618,63 	 1 331,85 	 349,29 	 2 152,00 	 2 605,21 	 35,29 	 16,08 	 1 842,23 	 7 369,86 	 52,11 	 3 742,93 	 754,48 	 167,24 	 326,61 	 689,20 	 75,56 	 3 115,77 	 1 317,01 	 425,24 	 3 808,18 	 90,33 	 278,72 	 1 687,71 	 166,47 	 188,28 	 15,96 
12.01.2006	 1 615,29 	 1 326,60 	 347,89 	 2 153,00 	 2 594,47 	 35,02 	 16,09 	 1 845,45 	 7 373,29 	 52,13 	 3 726,53 	 751,43 	 167,48 	 322,77 	 686,60 	 75,59 	 3 118,41 	 1 316,30 	 422,61 	 3 777,65 	 90,20 	 276,99 	 1 676,46 	 165,84 	 187,60 	 15,97 
13.01.2006	 1 627,13 	 1 338,31 	 350,86 	 2 153,00 	 2 617,08 	 35,35 	 16,13 	 1 859,00 	 7 372,53 	 52,13 	 3 760,04 	 758,02 	 167,68 	 324,85 	 688,59 	 75,82 	 3 115,13 	 1 326,15 	 422,99 	 3 808,33 	 90,98 	 279,68 	 1 691,08 	 167,32 	 189,31 	 15,97 
14.01.2006	 1 621,42 	 1 328,73 	 348,38 	 2 153,00 	 2 598,24 	 35,18 	 16,12 	 1 854,04 	 7 368,24 	 52,13 	 3 733,31 	 752,60 	 167,86 	 322,16 	 680,94 	 75,61 	 3 124,30 	 1 320,70 	 424,24 	 3 807,47 	 90,19 	 279,79 	 1 679,47 	 166,05 	 188,06 	 15,97 
15.01.2006	 1 621,42 	 1 328,73 	 348,38 	 2 153,00 	 2 598,24 	 35,18 	 16,12 	 1 854,04 	 7 368,24 	 52,13 	 3 733,31 	 752,60 	 167,86 	 322,16 	 680,94 	 75,61 	 3 124,30 	 1 320,70 	 424,24 	 3 807,47 	 90,19 	 279,79 	 1 679,47 	 166,05 	 188,06 	 15,97 
16.01.2006	 1 621,42 	 1 328,73 	 348,38 	 2 153,00 	 2 598,24 	 35,18 	 16,12 	 1 854,04 	 7 368,24 	 52,13 	 3 733,31 	 752,60 	 167,86 	 322,16 	 680,94 	 75,61 	 3 124,30 	 1 320,70 	 424,24 	 3 807,47 	 90,19 	 279,79 	 1 679,47 	 166,05 	 188,06 	 15,97 
17.01.2006	 1 625,19 	 1 336,85 	 350,49 	 2 153,00 	 2 614,71 	 35,30 	 16,14 	 1 858,20 	 7 373,04 	 52,11 	 3 757,09 	 757,30 	 167,68 	 325,05 	 687,13 	 76,08 	 3 114,10 	 1 319,28 	 424,03 	 3 821,47 	 90,89 	 280,13 	 1 688,50 	 167,10 	 187,88 	 15,97 
18.01.2006	 1 624,22 	 1 333,71 	 349,58 	 2 152,00 	 2 608,76 	 35,21 	 16,16 	 1 858,78 	 7 369,86 	 52,09 	 3 747,50 	 755,45 	 167,37 	 321,92 	 684,83 	 76,12 	 3 112,65 	 1 319,40 	 422,37 	 3 804,20 	 90,60 	 279,09 	 1 683,75 	 166,72 	 187,35 	 15,96 
19.01.2006	 1 614,43 	 1 335,53 	 350,05 	 2 152,00 	 2 611,77 	 35,20 	 16,17 	 1 849,83 	 7 369,61 	 52,09 	 3 753,05 	 756,48 	 167,41 	 322,22 	 676,01 	 76,04 	 3 110,78 	 1 319,44 	 422,37 	 3 804,41 	 90,48 	 279,81 	 1 686,72 	 166,92 	 186,98 	 15,96 
20.01.2006	 1 604,42 	 1 328,76 	 348,30 	 2 152,00 	 2 598,65 	 34,73 	 16,18 	 1 828,77 	 7 369,11 	 52,09 	 3 732,87 	 752,67 	 167,34 	 318,92 	 676,13 	 76,08 	 3 116,16 	 1 319,44 	 414,64 	 3 776,76 	 90,39 	 278,23 	 1 674,45 	 166,10 	 186,65 	 15,96 
21.01.2006	 1 610,99 	 1 329,30 	 348,49 	 2 152,00 	 2 599,94 	 34,74 	 16,21 	 1 849,51 	 7 369,61 	 52,09 	 3 736,44 	 753,03 	 167,15 	 319,97 	 674,99 	 76,07 	 3 110,48 	 1 319,92 	 421,14 	 3 781,39 	 90,72 	 278,89 	 1 674,64 	 166,19 	 186,67 	 15,96 
22.01.2006	 1 610,99 	 1 329,30 	 348,49 	 2 152,00 	 2 599,94 	 34,74 	 16,21 	 1 849,51 	 7 369,61 	 52,09 	 3 736,44 	 753,03 	 167,15 	 319,97 	 674,99 	 76,07 	 3 110,48 	 1 319,92 	 421,14 	 3 781,39 	 90,72 	 278,89 	 1 674,64 	 166,19 	 186,67 	 15,96 
