Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																																
Республики Беларусь ежедневно, за период с 01.01.2007 по 31.12.2007																																
																																
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 гривна (UAH)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 злотый (PLN)	1 исландская крона (ISK)	1 казахский тенге (KZT)	1 канадский доллар (CAD)	1 крона (EEK)	1 кувейтский динар (KWD)	1 кыргызский сом (KGS)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 новая турецкая лира (TRY)	1 норвежская крона (NOK)	1 польский злотый (PLN)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 сом (KGS)	1 тенге (KZT)	1 украинская гривна (UAH)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	1 эстонская крона (EEK)	10 иен (JPY)	10000 турецких лир (TRL)
01.01.2007	 1 690,71 	 1 440,25 	 423,39 	 377,92 	 2 140,00 	 2 817,31 	 734,92 	 29,93 	 16,88 	 1 844,27 	 180,06 	 7 401,26 	 55,68 	 4 041,93 	 816,02 	 165,73 		 340,88 		 81,13 	 3 216,76 	 1 395,86 				 4 197,61 	 102,57 	 311,35 	 1 753,60 		 180,01 	 15,87 
02.01.2007	 1 690,71 	 1 440,25 	 423,39 	 377,92 	 2 140,00 	 2 817,31 	 734,92 	 29,93 	 16,88 	 1 844,27 	 180,06 	 7 401,26 	 55,68 	 4 041,93 	 816,02 	 165,73 		 340,88 		 81,13 	 3 216,76 	 1 395,86 				 4 197,61 	 102,57 	 311,35 	 1 753,60 		 180,01 	 15,87 
03.01.2007	 1 690,71 	 1 440,25 	 423,39 	 377,92 	 2 140,00 	 2 817,31 	 734,92 	 29,93 	 16,88 	 1 844,27 	 180,06 	 7 401,26 	 55,68 	 4 041,93 	 816,02 	 165,73 		 340,88 		 81,13 	 3 216,76 	 1 395,86 				 4 197,61 	 102,57 	 311,35 	 1 753,60 		 180,01 	 15,87 
04.01.2007	 1 700,34 	 1 447,32 	 423,64 	 379,65 	 2 140,00 	 2 830,47 	 740,07 	 30,58 	 16,93 	 1 830,15 	 180,91 	 7 402,28 	 56,13 	 4 053,80 	 819,81 	 164,62 		 344,28 		 81,13 	 3 219,42 	 1 397,19 				 4 202,53 	 103,11 	 314,22 	 1 753,16 		 179,24 	 15,87 
05.01.2007	 1 678,94 	 1 435,09 	 424,18 	 376,51 	 2 140,00 	 2 806,82 	 729,93 	 30,48 	 16,99 	 1 824,46 	 179,37 	 7 402,03 	 56,13 	 4 022,18 	 812,85 	 164,62 		 339,84 		 81,13 	 3 221,17 	 1 393,73 				 4 157,91 	 101,95 	 310,19 	 1 738,21 		 179,28 	 15,87 
06.01.2007	 1 678,19 	 1 433,07 	 423,11 	 376,00 	 2 140,00 	 2 802,44 	 719,96 	 30,34 	 16,98 	 1 817,95 	 179,12 	 7 402,03 	 56,13 	 4 017,27 	 811,65 	 163,36 		 338,06 		 81,13 	 3 207,95 	 1 393,59 				 4 154,92 	 101,32 	 308,26 	 1 741,96 		 181,06 	 15,87 
07.01.2007	 1 678,19 	 1 433,07 	 423,11 	 376,00 	 2 140,00 	 2 802,44 	 719,96 	 30,34 	 16,98 	 1 817,95 	 179,12 	 7 402,03 	 56,13 	 4 017,27 	 811,65 	 163,36 		 338,06 		 81,13 	 3 207,95 	 1 393,59 				 4 154,92 	 101,32 	 308,26 	 1 741,96 		 181,06 	 15,87 
08.01.2007	 1 678,19 	 1 433,07 	 423,11 	 376,00 	 2 140,00 	 2 802,44 	 719,96 	 30,34 	 16,98 	 1 817,95 	 179,12 	 7 402,03 	 56,13 	 4 017,27 	 811,65 	 163,36 		 338,06 		 81,13 	 3 207,95 	 1 393,59 				 4 154,92 	 101,32 	 308,26 	 1 741,96 		 181,06 	 15,87 
09.01.2007	 1 668,88 	 1 424,34 	 423,34 	 373,82 	 2 140,00 	 2 785,96 	 719,04 	 30,28 	 17,08 	 1 824,77 	 178,07 	 7 402,03 	 56,13 	 3 991,42 	 806,82 	 162,74 		 336,74 		 81,13 	 3 208,91 	 1 391,51 				 4 138,97 	 100,72 	 307,18 	 1 732,72 		 181,01 	 15,87 
10.01.2007	 1 675,94 	 1 425,72 	 423,76 	 374,24 	 2 140,00 	 2 788,31 	 721,90 	 30,27 	 17,08 	 1 821,51 	 178,25 	 7 402,03 	 56,13 	 3 995,89 	 807,81 	 162,74 		 338,52 		 80,92 	 3 199,79 	 1 393,18 				 4 157,70 	 101,09 	 306,47 	 1 730,20 		 179,67 	 15,87 
