Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																											
Республики Беларусь ежедневно, за период с 01.01.2008 по 31.12.2008																											
																											
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 гривна (UAH)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 злотый (PLN)	1 исландская крона (ISK)	1 канадский доллар (CAD)	1 китайский юань (CNY)	1 крона (EEK)	1 кувейтский динар (KWD)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 новая турецкая лира (TRY)	1 норвежская крона (NOK)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 сом (KGS)	1 тенге (KZT)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	10 иен (JPY)
01.01.2008	 1 884,80 	 1 617,58 	 425,74 	 424,64 	 2 150,00 	 3 166,73 	 879,26 	 34,42 	 2 190,41 	 294,36 	 202,21 	 7 867,10 	 4 537,30 	 916,92 	 189,52 	 1 836,74 	 397,89 	 87,61 	 3 393,73 	 1 486,91 	 61,10 	 17,83 	 4 292,37 	 118,92 	 336,04 	 1 908,91 	 191,37 
02.01.2008	 1 884,80 	 1 617,58 	 425,74 	 424,64 	 2 150,00 	 3 166,73 	 879,26 	 34,42 	 2 190,41 	 294,36 	 202,21 	 7 867,10 	 4 537,30 	 916,92 	 189,52 	 1 836,74 	 397,89 	 87,61 	 3 393,73 	 1 486,91 	 61,10 	 17,83 	 4 292,37 	 118,92 	 336,04 	 1 908,91 	 191,37 
03.01.2008	 1 884,80 	 1 617,58 	 425,74 	 424,64 	 2 150,00 	 3 166,73 	 879,26 	 34,42 	 2 190,41 	 294,36 	 202,21 	 7 867,10 	 4 537,30 	 916,92 	 189,52 	 1 836,74 	 397,89 	 87,61 	 3 393,73 	 1 486,91 	 61,10 	 17,83 	 4 292,37 	 118,92 	 336,04 	 1 908,91 	 191,37 
04.01.2008	 1 892,97 	 1 616,85 	 425,74 	 424,24 	 2 150,00 	 3 162,33 	 875,48 	 34,29 	 2 166,68 	 294,36 	 202,11 	 7 871,85 	 4 527,75 	 915,83 	 189,54 	 1 835,18 	 398,15 	 87,61 	 3 393,71 	 1 499,67 	 61,10 	 17,83 	 4 244,96 	 120,34 	 335,70 	 1 925,14 	 197,08 
05.01.2008	 1 893,50 	 1 616,72 	 425,53 	 424,38 	 2 150,00 	 3 162,11 	 876,58 	 34,91 	 2 173,25 	 294,36 	 202,10 	 7 875,46 	 4 527,75 	 915,87 	 189,55 	 1 850,82 	 400,98 	 87,61 	 3 409,19 	 1 500,09 	 61,10 	 17,82 	 4 249,80 	 120,83 	 337,73 	 1 931,28 	 196,59 
06.01.2008	 1 893,50 	 1 616,72 	 425,53 	 424,38 	 2 150,00 	 3 162,11 	 876,58 	 34,91 	 2 173,25 	 294,36 	 202,10 	 7 875,46 	 4 527,75 	 915,87 	 189,55 	 1 850,82 	 400,98 	 87,61 	 3 409,19 	 1 500,09 	 61,10 	 17,82 	 4 249,80 	 120,83 	 337,73 	 1 931,28 	 196,59 
07.01.2008	 1 893,50 	 1 616,72 	 425,53 	 424,38 	 2 150,00 	 3 162,11 	 876,58 	 34,91 	 2 173,25 	 294,36 	 202,10 	 7 875,46 	 4 527,75 	 915,87 	 189,55 	 1 850,82 	 400,98 	 87,61 	 3 409,19 	 1 500,09 	 61,10 	 17,82 	 4 249,80 	 120,83 	 337,73 	 1 931,28 	 196,59 
08.01.2008	 1 893,50 	 1 616,72 	 425,53 	 424,38 	 2 150,00 	 3 162,11 	 876,58 	 34,91 	 2 173,25 	 294,36 	 202,10 	 7 875,46 	 4 527,75 	 915,87 	 189,55 	 1 850,82 	 400,98 	 87,61 	 3 409,19 	 1 500,09 	 61,10 	 17,82 	 4 249,80 	 120,83 	 337,73 	 1 931,28 	 196,59 
09.01.2008	 1 888,88 	 1 617,15 	 425,55 	 424,60 	 2 150,00 	 3 162,87 	 878,14 	 34,62 	 2 149,57 	 294,36 	 202,14 	 7 868,68 	 4 533,47 	 916,10 	 189,55 	 1 850,26 	 400,61 	 87,61 	 3 398,91 	 1 502,03 	 61,10 	 17,81 	 4 253,67 	 121,12 	 337,31 	 1 925,14 	 196,25 
10.01.2008	 1 898,99 	 1 616,78 	 425,53 	 424,56 	 2 150,00 	 3 162,11 	 879,83 	 34,05 	 2 140,58 	 294,36 	 202,08 	 7 874,59 	 4 531,56 	 915,21 	 190,43 	 1 853,85 	 401,10 	 87,98 	 3 400,57 	 1 502,55 	 61,10 	 17,81 	 4 219,59 	 121,74 	 336,18 	 1 931,98 	 196,65 
11.01.2008	 1 902,32 	 1 614,72 	 425,30 	 424,07 	 2 150,00 	 3 158,46 	 878,95 	 34,13 	 2 132,94 	 294,36 	 201,86 	 7 867,82 	 4 529,65 	 914,76 	 191,24 	 1 856,09 	 403,21 	 87,83 	 3 398,03 	 1 501,29 	 61,10 	 17,83 	 4 217,55 	 122,02 	 335,53 	 1 934,67 	 195,82 
12.01.2008	 1 924,14 	 1 624,79 	 426,74 	 426,81 	 2 150,00 	 3 177,81 	 887,15 	 34,36 	 2 129,24 	 294,36 	 203,14 	 7 874,02 	 4 546,42 	 920,55 	 192,31 	 1 867,45 	 406,43 	 88,23 	 3 394,05 	 1 502,08 	 61,10 	 17,83 	 4 202,28 	 122,86 	 338,49 	 1 949,41 	 197,38 
13.01.2008	 1 924,14 	 1 624,79 	 426,74 	 426,81 	 2 150,00 	 3 177,81 	 887,15 	 34,36 	 2 129,24 	 294,36 	 203,14 	 7 874,02 	 4 546,42 	 920,55 	 192,31 	 1 867,45 	 406,43 	 88,23 	 3 394,05 	 1 502,08 	 61,10 	 17,83 	 4 202,28 	 122,86 	 338,49 	 1 949,41 	 197,38 
14.01.2008	 1 924,14 	 1 624,79 	 426,74 	 426,81 	 2 150,00 	 3 177,81 	 887,15 	 34,36 	 2 129,24 	 294,36 	 203,14 	 7 874,02 	 4 546,42 	 920,55 	 192,31 	 1 867,45 	 406,43 	 88,23 	 3 394,05 	 1 502,08 	 61,10 	 17,83 	 4 202,28 	 122,86 	 338,49 	 1 949,41 	 197,38 
