Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																												
Республики Беларусь ежедневно, за период с 01.01.2010 по 31.12.2010																												
																												
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 гривна (UAH)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 злотый (PLN)	1 исландская крона (ISK)	1 канадский доллар (CAD)	1 китайский юань (CNY)	1 крона (EEK)	1 кувейтский динар (KWD)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 новая турецкая лира (TRY)	1 норвежская крона (NOK)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 сом (KGS)	1 тенге (KZT)	1 турецкая лира (TRY)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	10 иен (JPY)
01.01.2010	 2 571,24 	 2 107,94 	 355,16 	 554,00 	 2 859,00 	 4 119,53 	 1 003,70 	 22,91 	 2 719,23 	 418,78 	 263,50 	 9 961,33 	 5 813,93 	 1 193,99 	 232,25 	 1 914,94 	 496,35 	 94,53 	 4 465,73 	 2 041,05 	 64,84 	 19,25 		 4 611,00 	 155,80 	 401,17 	 2 777,75 	 309,89 
02.01.2010	 2 571,24 	 2 107,94 	 355,16 	 554,00 	 2 859,00 	 4 119,53 	 1 003,70 	 22,91 	 2 719,23 	 418,78 	 263,50 	 9 961,33 	 5 813,93 	 1 193,99 	 232,25 	 1 914,94 	 496,35 	 94,53 	 4 465,73 	 2 041,05 	 64,84 	 19,25 		 4 611,00 	 155,80 	 401,17 	 2 777,75 	 309,89 
03.01.2010	 2 571,24 	 2 107,94 	 355,16 	 554,00 	 2 859,00 	 4 119,53 	 1 003,70 	 22,91 	 2 719,23 	 418,78 	 263,50 	 9 961,33 	 5 813,93 	 1 193,99 	 232,25 	 1 914,94 	 496,35 	 94,53 	 4 465,73 	 2 041,05 	 64,84 	 19,25 		 4 611,00 	 155,80 	 401,17 	 2 777,75 	 309,89 
04.01.2010	 2 571,24 	 2 107,94 	 355,16 	 554,00 	 2 859,00 	 4 119,53 	 1 003,70 	 22,91 	 2 719,23 	 418,78 	 263,50 	 9 961,33 	 5 813,93 	 1 193,99 	 232,25 	 1 914,94 	 496,35 	 94,53 	 4 465,73 	 2 041,05 	 64,84 	 19,25 		 4 611,00 	 155,80 	 401,17 	 2 777,75 	 309,89 
05.01.2010	 2 584,96 	 2 097,19 	 355,16 	 551,18 	 2 859,00 	 4 094,37 	 1 003,00 	 22,82 	 2 746,53 	 418,80 	 262,16 	 9 959,42 	 5 783,35 	 1 187,98 	 233,67 	 1 919,24 	 496,24 	 94,72 	 4 482,03 	 2 043,46 	 64,84 	 19,25 		 4 622,43 	 155,71 	 401,82 	 2 758,19 	 308,08 
06.01.2010	 2 612,84 	 2 108,95 	 357,24 	 554,34 	 2 859,00 	 4 122,68 	 1 013,54 	 22,92 	 2 755,26 	 418,77 	 263,63 	 9 963,23 	 5 816,30 	 1 194,76 	 234,34 	 1 942,26 	 501,76 	 94,72 	 4 479,97 	 2 048,43 	 64,84 	 19,28 		 4 593,27 	 157,20 	 405,08 	 2 776,81 	 310,96 
07.01.2010	 2 617,16 	 2 101,09 	 358,18 	 552,19 	 2 862,00 	 4 102,96 	 1 004,35 	 22,86 	 2 756,96 	 419,19 	 262,67 	 9 989,53 	 5 798,22 	 1 190,64 	 234,59 	 1 940,67 	 501,10 	 94,81 	 4 486,33 	 2 051,32 	 64,91 	 19,32 		 4 591,36 	 156,44 	 402,56 	 2 770,44 	 310,50 
08.01.2010	 2 617,16 	 2 101,09 	 358,18 	 552,19 	 2 862,00 	 4 102,96 	 1 004,35 	 22,86 	 2 756,96 	 419,19 	 262,67 	 9 989,53 	 5 798,22 	 1 190,64 	 234,59 	 1 940,67 	 501,10 	 94,81 	 4 486,33 	 2 051,32 	 64,91 	 19,32 		 4 591,36 	 156,44 	 402,56 	 2 770,44 	 310,50 
09.01.2010	 2 617,16 	 2 101,09 	 358,18 	 552,19 	 2 862,00 	 4 102,96 	 1 004,35 	 22,86 	 2 756,96 	 419,19 	 262,67 	 9 989,53 	 5 798,22 	 1 190,64 	 234,59 	 1 940,67 	 501,10 	 94,81 	 4 486,33 	 2 051,32 	 64,91 	 19,32 		 4 591,36 	 156,44 	 402,56 	 2 770,44 	 310,50 
10.01.2010	 2 617,16 	 2 101,09 	 358,18 	 552,19 	 2 862,00 	 4 102,96 	 1 004,35 	 22,86 	 2 756,96 	 419,19 	 262,67 	 9 989,53 	 5 798,22 	 1 190,64 	 234,59 	 1 940,67 	 501,10 	 94,81 	 4 486,33 	 2 051,32 	 64,91 	 19,32 		 4 591,36 	 156,44 	 402,56 	 2 770,44 	 310,50 
