Официальный курс белорусского рубля по отношению к иностранным валютам, устанавливаемый Национальным банком																												
Республики Беларусь ежедневно, за период с 01.01.2011 по 31.12.2011																												
																												
Дата	1 австралийский доллар (AUD)	1 болгарский лев (BGN)	1 гривна (UAH)	1 датская крона (DKK)	1 доллар США (USD)	1 евро (EUR)	1 злотый (PLN)	1 исландская крона (ISK)	1 канадский доллар (CAD)	1 китайский юань (CNY)	1 крона (EEK)	1 кувейтский динар (KWD)	1 латвийский лат (LVL)	1 литовский лит (LTL)	1 молдавский лей (MDL)	1 норвежская крона (NOK)	1 российский рубль (RUB)	1 СДР (XDR)	1 сингапурский доллар (SGD)	1 сом (KGS)	1 тенге (KZT)	1 турецкая лира (TRY)	1 фунт стерлингов (GBP)	1 чешская крона (CZK)	1 шведская крона (SEK)	1 швейцарский франк (CHF)	10 иен (JPY)	1000 иранских риалов (IRR)
01.01.2011	 3 054,45 	 2 047,50 	 376,53 	 537,20 	 3 000,00 	 3 999,30 	 1 010,54 	 26,03 	 3 005,41 	 455,19 	 255,94 	 10 662,50 	 5 641,75 	 1 159,69 	 247,01 	 512,42 	 98,44 	 4 620,09 	 2 339,36 	 63,81 	 20,35 	 1 941,87 	 4 643,55 	 159,74 	 445,98 	 3 200,68 	 368,75 	 289,71 
02.01.2011	 3 054,45 	 2 047,50 	 376,53 	 537,20 	 3 000,00 	 3 999,30 	 1 010,54 	 26,03 	 3 005,41 	 455,19 	 255,94 	 10 662,50 	 5 641,75 	 1 159,69 	 247,01 	 512,42 	 98,44 	 4 620,09 	 2 339,36 	 63,81 	 20,35 	 1 941,87 	 4 643,55 	 159,74 	 445,98 	 3 200,68 	 368,75 	 289,71 
03.01.2011	 3 054,45 	 2 047,50 	 376,53 	 537,20 	 3 000,00 	 3 999,30 	 1 010,54 	 26,03 	 3 005,41 	 455,19 	 255,94 	 10 662,50 	 5 641,75 	 1 159,69 	 247,01 	 512,42 	 98,44 	 4 620,09 	 2 339,36 	 63,81 	 20,35 	 1 941,87 	 4 643,55 	 159,74 	 445,98 	 3 200,68 	 368,75 	 289,71 
04.01.2011	 3 060,18 	 2 040,83 	 376,40 	 535,50 	 2 999,00 	 3 981,77 	 1 007,41 	 25,93 	 3 020,29 	 455,08 	 256,27 	 10 669,94 	 5 624,00 	 1 155,77 	 246,11 	 512,46 	 98,40 	 4 618,55 	 2 332,40 	 63,64 	 20,35 	 1 929,86 	 4 645,90 	 159,45 	 445,85 	 3 200,30 	 368,70 	 289,71 
05.01.2011	 3 023,06 	 2 048,67 	 376,66 	 537,56 	 3 001,00 	 4 006,94 	 1 016,53 	 26,05 	 3 019,57 	 454,22 	 256,44 	 10 685,42 	 5 644,69 	 1 160,39 	 245,46 	 513,16 	 98,47 	 4 639,01 	 2 331,96 	 63,68 	 20,36 	 1 929,16 	 4 666,86 	 160,38 	 447,24 	 3 184,76 	 365,04 	 289,71 
06.01.2011	 3 006,80 	 2 036,15 	 376,73 	 534,32 	 3 002,00 	 3 977,65 	 1 019,27 	 25,90 	 3 003,50 	 453,53 	 256,53 	 10 678,71 	 5 613,31 	 1 153,37 	 243,92 	 509,72 	 98,50 	 4 642,26 	 2 328,40 	 63,70 	 20,41 	 1 941,41 	 4 674,11 	 160,24 	 445,13 	 3 158,84 	 365,67 	 289,71 
07.01.2011	 3 002,34 	 2 016,63 	 377,50 	 529,27 	 3 007,00 	 3 946,39 	 1 019,60 	 25,76 	 3 024,09 	 453,80 	 256,96 	 10 668,04 	 5 593,90 	 1 142,30 	 243,68 	 507,06 	 98,66 	 4 631,56 	 2 323,80 	 63,81 	 20,44 	 1 940,63 	 4 676,19 	 159,05 	 442,79 	 3 108,17 	 362,11 	 289,71 
08.01.2011	 3 002,34 	 2 016,63 	 377,50 	 529,27 	 3 007,00 	 3 946,39 	 1 019,60 	 25,76 	 3 024,09 	 453,80 	 256,96 	 10 668,04 	 5 593,90 	 1 142,30 	 243,68 	 507,06 	 98,66 	 4 631,56 	 2 323,80 	 63,81 	 20,44 	 1 940,63 	 4 676,19 	 159,05 	 442,79 	 3 108,17 	 362,11 	 289,71 
09.01.2011	 3 002,34 	 2 016,63 	 377,50 	 529,27 	 3 007,00 	 3 946,39 	 1 019,60 	 25,76 	 3 024,09 	 453,80 	 256,96 	 10 668,04 	 5 593,90 	 1 142,30 	 243,68 	 507,06 	 98,66 	 4 631,56 	 2 323,80 	 63,81 	 20,44 	 1 940,63 	 4 676,19 	 159,05 	 442,79 	 3 108,17 	 362,11 	 289,71 
10.01.2011	 3 002,34 	 2 016,63 	 377,50 	 529,27 	 3 007,00 	 3 946,39 	 1 019,60 	 25,76 	 3 024,09 	 453,80 	 256,96 	 10 668,04 	 5 593,90 	 1 142,30 	 243,68 	 507,06 	 98,66 	 4 631,56 	 2 323,80 	 63,81 	 20,44 	 1 940,63 	 4 676,19 	 159,05 	 442,79 	 3 108,17 	 362,11 	 289,71 
